,Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
68,HIV prevalence,2017,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,13010,317.6,4096426
69,HIV prevalence,2016,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,12478,305.5,4084113
70,HIV prevalence,2015,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,12074,296.5,4071935
71,HIV prevalence,2014,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,12114,298.4,4060083
72,HIV prevalence,2013,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,11718,289.9,4042695
73,HIV prevalence,2012,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,11347,282.3,4020179
74,HIV prevalence,2011,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,11047,276.3,3998191
75,HIV prevalence,2010,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,10547,265,3980691
76,HIV prevalence,2009,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,10216,262,3898688
77,HIV prevalence,2008,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,9810,253.4,3870996
78,Gonorrhea,2020,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,,,598990
79,Gonorrhea,2019,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,,,598990
80,Gonorrhea,2018,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,2244,373.6,600617
81,Gonorrhea,2017,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,2184,362.1,603165
82,Gonorrhea,2016,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,1452,240.4,604012
83,Gonorrhea,2015,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,1110,184.8,600807
84,Gonorrhea,2014,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,1340,223.6,599375
85,Gonorrhea,2013,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,1126,187.9,599337
86,Gonorrhea,2012,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,725,122.3,592774
87,Gonorrhea,2011,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,979,167.5,584630
88,Gonorrhea,2010,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,1268,219.5,577754
89,Gonorrhea,2009,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,987,177.1,557167
90,Gonorrhea,2008,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,578,105,550681
91,Chlamydia,2020,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,5088,849.4,598990
92,Chlamydia,2019,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,6250,1043.4,598990
93,Chlamydia,2018,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,6155,1024.8,600617
94,Chlamydia,2017,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,5933,983.6,603165
95,Chlamydia,2016,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,5691,942.2,604012
96,Chlamydia,2015,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,5655,941.2,600807
97,Chlamydia,2014,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,5787,965.5,599375
98,Chlamydia,2013,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,5770,962.7,599337
99,Chlamydia,2012,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,5460,921.1,592774
100,Chlamydia,2011,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,5731,980.3,584630
101,Chlamydia,2010,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,6014,1040.9,577754
102,Chlamydia,2009,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,5163,926.7,557167
103,Chlamydia,2008,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,4858,882.2,550681
104,"Early Non-Primary, Non-Secondary Syphilis",2020,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,130,21.7,598990
105,"Early Non-Primary, Non-Secondary Syphilis",2019,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,78,13,598990
106,"Early Non-Primary, Non-Secondary Syphilis",2018,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,41,6.8,600617
107,"Early Non-Primary, Non-Secondary Syphilis",2017,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,9,1.5,603165
108,"Early Non-Primary, Non-Secondary Syphilis",2016,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,13,2.2,604012
109,"Early Non-Primary, Non-Secondary Syphilis",2015,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,13,2.2,600807
110,"Early Non-Primary, Non-Secondary Syphilis",2014,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,25,4.2,599375
111,"Early Non-Primary, Non-Secondary Syphilis",2013,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,8,1.3,599337
112,"Early Non-Primary, Non-Secondary Syphilis",2012,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,8,1.3,592774
113,"Early Non-Primary, Non-Secondary Syphilis",2011,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,,,584630
114,"Early Non-Primary, Non-Secondary Syphilis",2010,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,5,0.9,577754
115,"Early Non-Primary, Non-Secondary Syphilis",2009,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,0,0,557167
116,"Early Non-Primary, Non-Secondary Syphilis",2008,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,,,550681
117,Primary and Secondary Syphilis,2020,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,176,29.4,598990
118,Primary and Secondary Syphilis,2019,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,129,21.5,598990
119,Primary and Secondary Syphilis,2018,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,55,9.2,600617
120,Primary and Secondary Syphilis,2017,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,13,2.2,603165
121,Primary and Secondary Syphilis,2016,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,8,1.3,604012
122,Primary and Secondary Syphilis,2015,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,8,1.3,600807
123,Primary and Secondary Syphilis,2014,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,15,2.5,599375
124,Primary and Secondary Syphilis,2013,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,23,3.8,599337
125,Primary and Secondary Syphilis,2012,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,11,1.9,592774
126,Primary and Secondary Syphilis,2011,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,5,0.9,584630
127,Primary and Secondary Syphilis,2010,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,,,577754
128,Primary and Secondary Syphilis,2009,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,0,0,557167
129,Primary and Secondary Syphilis,2008,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,,,550681
130,AIDS prevalence,2020,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,369,61.5,599919
131,AIDS prevalence,2019,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,371,61.8,600561
132,AIDS prevalence,2018,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,377,62.7,601566
133,AIDS prevalence,2017,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,387,64.1,604084
134,AIDS prevalence,2016,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,381,63,604820
135,AIDS prevalence,2015,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,364,60.5,601517
136,AIDS prevalence,2014,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,344,57.3,600001
137,AIDS prevalence,2013,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,363,60.5,599774
138,AIDS prevalence,2012,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,371,62.6,593060
139,AIDS prevalence,2011,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,377,64.5,584807
140,AIDS prevalence,2010,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,370,64,577805
141,AIDS prevalence,2009,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,319,56.4,565800
142,AIDS prevalence,2008,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,318,56.9,559346
143,HIV prevalence,2020,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,730,121.7,599919
144,HIV prevalence,2019,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,722,120.2,600561
145,HIV prevalence,2018,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,707,117.5,601566
146,HIV prevalence,2017,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,713,118,604084
147,HIV prevalence,2016,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,689,113.9,604820
148,HIV prevalence,2015,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,652,108.4,601517
149,HIV prevalence,2014,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,618,103,600001
150,HIV prevalence,2013,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,640,106.7,599774
151,HIV prevalence,2012,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,648,109.3,593060
152,HIV prevalence,2011,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,657,112.3,584807
153,HIV prevalence,2010,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,639,110.6,577805
154,HIV prevalence,2009,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,549,97,565800
155,HIV prevalence,2008,Alaska,2,Ages 13 years and older,All races/ethnicities,Both sexes,542,96.9,559346
156,Gonorrhea,2020,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,16326,267.2,6109109
157,Gonorrhea,2019,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,15168,248.3,6109109
158,Gonorrhea,2018,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,12861,214.8,5987068
159,Gonorrhea,2017,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,12493,212.8,5871429
160,Gonorrhea,2016,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,10324,179,5767101
161,Gonorrhea,2015,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,8244,145.6,5660216
162,Gonorrhea,2014,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,7745,139.2,5563834
163,Gonorrhea,2013,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,6403,117.1,5466923
164,Gonorrhea,2012,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,5805,107.8,5386751
165,Gonorrhea,2011,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,4559,86,5303804
166,Gonorrhea,2010,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,3244,62,5229307
167,Gonorrhea,2009,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,3247,61.1,5316383
168,Gonorrhea,2008,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,3440,65.7,5235120
169,Chlamydia,2020,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,37269,610.1,6109109
170,Chlamydia,2019,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,43039,704.5,6109109
171,Chlamydia,2018,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,40785,681.2,5987068
172,Chlamydia,2017,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,39582,674.1,5871429
173,Chlamydia,2016,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,34910,605.3,5767101
174,Chlamydia,2015,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,32378,572,5660216
175,Chlamydia,2014,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,32377,581.9,5563834
176,Chlamydia,2013,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,30548,558.8,5466923
177,Chlamydia,2012,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,30417,564.7,5386751
178,Chlamydia,2011,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,29217,550.9,5303804
179,Chlamydia,2010,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,26786,512.2,5229307
180,Chlamydia,2009,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,25951,488.1,5316383
181,Chlamydia,2008,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,24698,471.8,5235120
182,"Early Non-Primary, Non-Secondary Syphilis",2020,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,1249,20.4,6109109
183,"Early Non-Primary, Non-Secondary Syphilis",2019,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,1179,19.3,6109109
184,"Early Non-Primary, Non-Secondary Syphilis",2018,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,898,15,5987068
185,"Early Non-Primary, Non-Secondary Syphilis",2017,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,620,10.6,5871429
186,"Early Non-Primary, Non-Secondary Syphilis",2016,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,488,8.5,5767101
187,"Early Non-Primary, Non-Secondary Syphilis",2015,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,361,6.4,5660216
188,"Early Non-Primary, Non-Secondary Syphilis",2014,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,311,5.6,5563834
189,"Early Non-Primary, Non-Secondary Syphilis",2013,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,207,3.8,5466923
190,"Early Non-Primary, Non-Secondary Syphilis",2012,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,147,2.7,5386751
191,"Early Non-Primary, Non-Secondary Syphilis",2011,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,187,3.5,5303804
192,"Early Non-Primary, Non-Secondary Syphilis",2010,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,166,3.2,5229307
193,"Early Non-Primary, Non-Secondary Syphilis",2009,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,196,3.7,5316383
194,"Early Non-Primary, Non-Secondary Syphilis",2008,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,258,4.9,5235120
195,Primary and Secondary Syphilis,2020,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,1454,23.8,6109109
196,Primary and Secondary Syphilis,2019,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,,,6109109
197,Primary and Secondary Syphilis,2018,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,1047,17.5,5987068
198,Primary and Secondary Syphilis,2017,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,942,16,5871429
199,Primary and Secondary Syphilis,2016,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,721,12.5,5767101
200,Primary and Secondary Syphilis,2015,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,589,10.4,5660216
201,Primary and Secondary Syphilis,2014,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,577,10.4,5563834
202,Primary and Secondary Syphilis,2013,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,287,5.2,5466923
203,Primary and Secondary Syphilis,2012,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,202,3.7,5386751
204,Primary and Secondary Syphilis,2011,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,274,5.2,5303804
205,Primary and Secondary Syphilis,2010,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,230,4.4,5229307
206,Primary and Secondary Syphilis,2009,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,231,4.3,5316383
207,Primary and Secondary Syphilis,2008,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,317,6.1,5235120
208,AIDS prevalence,2020,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,8023,128.3,6254434
209,AIDS prevalence,2019,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,7888,128.8,6121860
210,AIDS prevalence,2018,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,7690,128.3,5992915
211,AIDS prevalence,2017,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,7523,128.1,5874541
212,AIDS prevalence,2016,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,7369,127.7,5770176
213,AIDS prevalence,2015,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,7279,128.5,5662609
214,AIDS prevalence,2014,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,7160,128.6,5565668
215,AIDS prevalence,2013,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,6910,126.4,5468331
216,AIDS prevalence,2012,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,6707,124.5,5387734
217,AIDS prevalence,2011,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,6463,121.8,5304335
218,AIDS prevalence,2010,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,6277,120,5229397
219,AIDS prevalence,2009,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,5376,101.1,5316387
220,AIDS prevalence,2008,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,5030,96.1,5235123
221,HIV prevalence,2020,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,17695,282.9,6254434
222,HIV prevalence,2019,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,17155,280.2,6121860
223,HIV prevalence,2018,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,16425,274.1,5992915
224,HIV prevalence,2017,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,15776,268.5,5874541
225,HIV prevalence,2016,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,15201,263.4,5770176
226,HIV prevalence,2015,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,14710,259.8,5662609
227,HIV prevalence,2014,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,14115,253.6,5565668
228,HIV prevalence,2013,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,13440,245.8,5468331
229,HIV prevalence,2012,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,12926,239.9,5387734
230,HIV prevalence,2011,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,12364,233.1,5304335
231,HIV prevalence,2010,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,11982,229.1,5229397
232,HIV prevalence,2009,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,11194,210.6,5316387
233,HIV prevalence,2008,Arizona,4,Ages 13 years and older,All races/ethnicities,Both sexes,10755,205.4,5235123
234,Gonorrhea,2020,Arkansas,5,Ages 13 years and older,All races/ethnicities,Both sexes,7853,312.1,2516233
235,Gonorrhea,2019,Arkansas,5,Ages 13 years and older,All races/ethnicities,Both sexes,6901,274.3,2516233
236,Gonorrhea,2018,Arkansas,5,Ages 13 years and older,All races/ethnicities,Both sexes,7294,291.2,2505209
