Indicator,Year,State,Age,Race,Sex,Cases,Rate per 100000,Population,total_STD,STD_per_100000
Chlamydia,2012,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,30549.0,760.0,4019352.0,40251.0,1001.4300812668312
Chlamydia,2011,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,29527.0,738.6,3997721.0,39130.0,978.8076756732149
Chlamydia,2010,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,26937.0,676.7,3980618.0,35371.0,888.5806173815222
Chlamydia,2009,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,25807.0,661.9,3898688.0,34112.0,874.9610125252393
Chlamydia,2008,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,24630.0,636.3,3870979.0,35203.0,909.4081884711853
"Early Non-Primary, Non-Secondary Syphilis",2020,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,478.0,11.6,4123974.0,42399.0,1028.1102645167016
"Early Non-Primary, Non-Secondary Syphilis",2019,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,540.0,13.1,4123974.0,46787.0,1134.512487227126
"Early Non-Primary, Non-Secondary Syphilis",2018,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,447.0,10.9,4107120.0,41927.0,1020.8369855275716
"Early Non-Primary, Non-Secondary Syphilis",2017,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,422.0,10.3,4093322.0,42595.0,1040.597343673427
"Early Non-Primary, Non-Secondary Syphilis",2016,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,267.0,6.5,4081636.0,31167.0,763.5908738554834
"Early Non-Primary, Non-Secondary Syphilis",2015,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,177.0,4.3,4069920.0,33968.0,834.6109997248103
"Early Non-Primary, Non-Secondary Syphilis",2014,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,144.0,3.5,4058522.0,36925.0,909.8139667593277
"Early Non-Primary, Non-Secondary Syphilis",2013,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,202.0,5.0,4041484.0,38104.0,942.8219931094618
"Early Non-Primary, Non-Secondary Syphilis",2012,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,237.0,5.9,4019352.0,40251.0,1001.4300812668312
"Early Non-Primary, Non-Secondary Syphilis",2011,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,268.0,6.7,3997721.0,39130.0,978.8076756732149
"Early Non-Primary, Non-Secondary Syphilis",2010,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,277.0,7.0,3980618.0,35371.0,888.5806173815222
"Early Non-Primary, Non-Secondary Syphilis",2009,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,418.0,10.7,3898688.0,34112.0,874.9610125252393
"Early Non-Primary, Non-Secondary Syphilis",2008,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,439.0,11.3,3870979.0,35203.0,909.4081884711853
Primary and Secondary Syphilis,2020,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,529.0,12.8,4123974.0,42399.0,1028.1102645167016
Primary and Secondary Syphilis,2019,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,618.0,15.0,4123974.0,46787.0,1134.512487227126
Primary and Secondary Syphilis,2018,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,476.0,11.6,4107120.0,41927.0,1020.8369855275716
Primary and Secondary Syphilis,2017,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,420.0,10.3,4093322.0,42595.0,1040.597343673427
Primary and Secondary Syphilis,2016,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,343.0,8.4,4081636.0,31167.0,763.5908738554834
Primary and Secondary Syphilis,2015,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,280.0,6.9,4069920.0,33968.0,834.6109997248103
Primary and Secondary Syphilis,2014,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,161.0,4.0,4058522.0,36925.0,909.8139667593277
Primary and Secondary Syphilis,2013,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,183.0,4.5,4041484.0,38104.0,942.8219931094618
Primary and Secondary Syphilis,2012,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,216.0,5.4,4019352.0,40251.0,1001.4300812668312
Primary and Secondary Syphilis,2011,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,228.0,5.7,3997721.0,39130.0,978.8076756732149
Primary and Secondary Syphilis,2010,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,260.0,6.5,3980618.0,35371.0,888.5806173815222
Primary and Secondary Syphilis,2009,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,416.0,10.7,3898688.0,34112.0,874.9610125252393
Primary and Secondary Syphilis,2008,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,448.0,11.6,3870979.0,35203.0,909.4081884711853
AIDS prevalence,2020,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,6162.0,148.7,4145188.0,,
AIDS prevalence,2019,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,6038.0,146.3,4128511.0,,
AIDS prevalence,2018,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,5892.0,143.3,4110461.0,,
AIDS prevalence,2017,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,5730.0,139.9,4096426.0,,
AIDS prevalence,2016,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,5541.0,135.7,4084113.0,,
AIDS prevalence,2015,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,5419.0,133.1,4071935.0,,
AIDS prevalence,2014,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,5390.0,132.8,4060083.0,,
AIDS prevalence,2013,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,5225.0,129.2,4042695.0,,
AIDS prevalence,2012,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,5045.0,125.5,4020179.0,,
AIDS prevalence,2011,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,4842.0,121.1,3998191.0,,
AIDS prevalence,2010,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,4436.0,111.4,3980691.0,,
AIDS prevalence,2009,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,4104.0,105.3,3898688.0,,
AIDS prevalence,2008,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,4020.0,103.8,3870996.0,,
HIV prevalence,2020,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,14158.0,341.6,4145188.0,,
HIV prevalence,2019,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,13849.0,335.4,4128511.0,,
HIV prevalence,2018,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,13448.0,327.2,4110461.0,,
HIV prevalence,2017,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,13010.0,317.6,4096426.0,,
HIV prevalence,2016,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,12478.0,305.5,4084113.0,,
HIV prevalence,2015,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,12074.0,296.5,4071935.0,,
HIV prevalence,2014,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,12114.0,298.4,4060083.0,,
HIV prevalence,2013,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,11718.0,289.9,4042695.0,,
HIV prevalence,2012,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,11347.0,282.3,4020179.0,,
HIV prevalence,2011,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,11047.0,276.3,3998191.0,,
HIV prevalence,2010,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,10547.0,265.0,3980691.0,,
HIV prevalence,2009,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,10216.0,262.0,3898688.0,,
HIV prevalence,2008,Alabama^,Ages 13 years and older,All races/ethnicities,Both sexes,9810.0,253.4,3870996.0,,
Gonorrhea,2020,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,,,598990.0,5394.0,900.5158683784371
Gonorrhea,2019,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,,,598990.0,6457.0,1077.9812684685887
Gonorrhea,2018,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,2244.0,373.6,600617.0,8495.0,1414.378880384671
Gonorrhea,2017,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,2184.0,362.1,603165.0,8139.0,1349.3820098977892
Gonorrhea,2016,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,1452.0,240.4,604012.0,7164.0,1186.069150944021
Gonorrhea,2015,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,1110.0,184.8,600807.0,6786.0,1129.4808482590915
Gonorrhea,2014,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,1340.0,223.6,599375.0,7167.0,1195.745568300313
Gonorrhea,2013,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,1126.0,187.9,599337.0,6927.0,1155.7771337327747
Gonorrhea,2012,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,725.0,122.3,592774.0,6204.0,1046.6046081643258
Gonorrhea,2011,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,979.0,167.5,584630.0,6715.0,1148.589706309974
Gonorrhea,2010,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,1268.0,219.5,577754.0,7287.0,1261.2634443032848
Gonorrhea,2009,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,987.0,177.1,557167.0,6150.0,1103.7983225855085
Gonorrhea,2008,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,578.0,105.0,550681.0,5436.0,987.1413758600714
Chlamydia,2020,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,5088.0,849.4,598990.0,5394.0,900.5158683784371
Chlamydia,2019,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,6250.0,1043.4,598990.0,6457.0,1077.9812684685887
Chlamydia,2018,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,6155.0,1024.8,600617.0,8495.0,1414.378880384671
Chlamydia,2017,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,5933.0,983.6,603165.0,8139.0,1349.3820098977892
Chlamydia,2016,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,5691.0,942.2,604012.0,7164.0,1186.069150944021
Chlamydia,2015,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,5655.0,941.2,600807.0,6786.0,1129.4808482590915
Chlamydia,2014,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,5787.0,965.5,599375.0,7167.0,1195.745568300313
Chlamydia,2013,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,5770.0,962.7,599337.0,6927.0,1155.7771337327747
Chlamydia,2012,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,5460.0,921.1,592774.0,6204.0,1046.6046081643258
Chlamydia,2011,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,5731.0,980.3,584630.0,6715.0,1148.589706309974
Chlamydia,2010,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,6014.0,1040.9,577754.0,7287.0,1261.2634443032848
Chlamydia,2009,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,5163.0,926.7,557167.0,6150.0,1103.7983225855085
Chlamydia,2008,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,4858.0,882.2,550681.0,5436.0,987.1413758600714
"Early Non-Primary, Non-Secondary Syphilis",2020,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,130.0,21.7,598990.0,5394.0,900.5158683784371
"Early Non-Primary, Non-Secondary Syphilis",2019,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,78.0,13.0,598990.0,6457.0,1077.9812684685887
"Early Non-Primary, Non-Secondary Syphilis",2018,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,41.0,6.8,600617.0,8495.0,1414.378880384671
"Early Non-Primary, Non-Secondary Syphilis",2017,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,9.0,1.5,603165.0,8139.0,1349.3820098977892
"Early Non-Primary, Non-Secondary Syphilis",2016,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,13.0,2.2,604012.0,7164.0,1186.069150944021
"Early Non-Primary, Non-Secondary Syphilis",2015,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,13.0,2.2,600807.0,6786.0,1129.4808482590915
"Early Non-Primary, Non-Secondary Syphilis",2014,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,25.0,4.2,599375.0,7167.0,1195.745568300313
"Early Non-Primary, Non-Secondary Syphilis",2013,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,8.0,1.3,599337.0,6927.0,1155.7771337327747
"Early Non-Primary, Non-Secondary Syphilis",2012,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,8.0,1.3,592774.0,6204.0,1046.6046081643258
"Early Non-Primary, Non-Secondary Syphilis",2011,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,,,584630.0,6715.0,1148.589706309974
"Early Non-Primary, Non-Secondary Syphilis",2010,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,5.0,0.9,577754.0,7287.0,1261.2634443032848
"Early Non-Primary, Non-Secondary Syphilis",2009,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,0.0,0.0,557167.0,6150.0,1103.7983225855085
"Early Non-Primary, Non-Secondary Syphilis",2008,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,,,550681.0,5436.0,987.1413758600714
Primary and Secondary Syphilis,2020,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,176.0,29.4,598990.0,5394.0,900.5158683784371
Primary and Secondary Syphilis,2019,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,129.0,21.5,598990.0,6457.0,1077.9812684685887
Primary and Secondary Syphilis,2018,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,55.0,9.2,600617.0,8495.0,1414.378880384671
Primary and Secondary Syphilis,2017,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,13.0,2.2,603165.0,8139.0,1349.3820098977892
Primary and Secondary Syphilis,2016,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,8.0,1.3,604012.0,7164.0,1186.069150944021
Primary and Secondary Syphilis,2015,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,8.0,1.3,600807.0,6786.0,1129.4808482590915
Primary and Secondary Syphilis,2014,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,15.0,2.5,599375.0,7167.0,1195.745568300313
Primary and Secondary Syphilis,2013,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,23.0,3.8,599337.0,6927.0,1155.7771337327747
Primary and Secondary Syphilis,2012,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,11.0,1.9,592774.0,6204.0,1046.6046081643258
Primary and Secondary Syphilis,2011,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,5.0,0.9,584630.0,6715.0,1148.589706309974
Primary and Secondary Syphilis,2010,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,,,577754.0,7287.0,1261.2634443032848
Primary and Secondary Syphilis,2009,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,0.0,0.0,557167.0,6150.0,1103.7983225855085
Primary and Secondary Syphilis,2008,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,,,550681.0,5436.0,987.1413758600714
AIDS prevalence,2020,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,369.0,61.5,599919.0,5394.0,899.1213813864871
AIDS prevalence,2019,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,371.0,61.8,600561.0,6457.0,1075.1613907663002
AIDS prevalence,2018,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,377.0,62.7,601566.0,8495.0,1412.1476280241902
AIDS prevalence,2017,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,387.0,64.1,604084.0,8139.0,1347.3291793856483
AIDS prevalence,2016,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,381.0,63.0,604820.0,7164.0,1184.4846400581991
AIDS prevalence,2015,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,364.0,60.5,601517.0,6786.0,1128.147666649488
AIDS prevalence,2014,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,344.0,57.3,600001.0,7167.0,1194.4980091699847
AIDS prevalence,2013,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,363.0,60.5,599774.0,6927.0,1154.9350255262816
AIDS prevalence,2012,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,371.0,62.6,593060.0,6204.0,1046.0998887127778
AIDS prevalence,2011,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,377.0,64.5,584807.0,6715.0,1148.24206960587
AIDS prevalence,2010,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,370.0,64.0,577805.0,7287.0,1261.152118794403
AIDS prevalence,2009,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,319.0,56.4,565800.0,6150.0,1086.9565217391305
AIDS prevalence,2008,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,318.0,56.9,559346.0,5436.0,971.8492668223246
HIV prevalence,2020,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,730.0,121.7,599919.0,5394.0,899.1213813864871
HIV prevalence,2019,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,722.0,120.2,600561.0,6457.0,1075.1613907663002
HIV prevalence,2018,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,707.0,117.5,601566.0,8495.0,1412.1476280241902
HIV prevalence,2017,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,713.0,118.0,604084.0,8139.0,1347.3291793856483
HIV prevalence,2016,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,689.0,113.9,604820.0,7164.0,1184.4846400581991
HIV prevalence,2015,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,652.0,108.4,601517.0,6786.0,1128.147666649488
HIV prevalence,2014,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,618.0,103.0,600001.0,7167.0,1194.4980091699847
HIV prevalence,2013,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,640.0,106.7,599774.0,6927.0,1154.9350255262816
HIV prevalence,2012,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,648.0,109.3,593060.0,6204.0,1046.0998887127778
HIV prevalence,2011,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,657.0,112.3,584807.0,6715.0,1148.24206960587
HIV prevalence,2010,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,639.0,110.6,577805.0,7287.0,1261.152118794403
HIV prevalence,2009,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,549.0,97.0,565800.0,6150.0,1086.9565217391305
HIV prevalence,2008,Alaska,Ages 13 years and older,All races/ethnicities,Both sexes,542.0,96.9,559346.0,5436.0,971.8492668223246
Gonorrhea,2020,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,16326.0,267.2,6109109.0,56298.0,921.5419138862967
Gonorrhea,2019,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,15168.0,248.3,6109109.0,59386.0,972.0893832472133
Gonorrhea,2018,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,12861.0,214.8,5987068.0,55591.0,928.5179323167869
Gonorrhea,2017,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,12493.0,212.8,5871429.0,53637.0,913.5254807645636
Gonorrhea,2016,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,10324.0,179.0,5767101.0,46443.0,805.3092879767495
Gonorrhea,2015,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,8244.0,145.6,5660216.0,41572.0,734.4596036617684
Gonorrhea,2014,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,7745.0,139.2,5563834.0,41010.0,737.0816598769841
Gonorrhea,2013,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,6403.0,117.1,5466923.0,37445.0,684.9373953135978
Gonorrhea,2012,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,5805.0,107.8,5386751.0,36571.0,678.9064502888662
Gonorrhea,2011,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,4559.0,86.0,5303804.0,34237.0,645.5178207942828
Gonorrhea,2010,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,3244.0,62.0,5229307.0,30426.0,581.8361782928407
Gonorrhea,2009,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,3247.0,61.1,5316383.0,29625.0,557.2397624475136
Gonorrhea,2008,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,3440.0,65.7,5235120.0,28713.0,548.468803007381
Chlamydia,2020,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,37269.0,610.1,6109109.0,56298.0,921.5419138862967
Chlamydia,2019,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,43039.0,704.5,6109109.0,59386.0,972.0893832472133
Chlamydia,2018,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,40785.0,681.2,5987068.0,55591.0,928.5179323167869
Chlamydia,2017,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,39582.0,674.1,5871429.0,53637.0,913.5254807645636
Chlamydia,2016,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,34910.0,605.3,5767101.0,46443.0,805.3092879767495
Chlamydia,2015,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,32378.0,572.0,5660216.0,41572.0,734.4596036617684
Chlamydia,2014,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,32377.0,581.9,5563834.0,41010.0,737.0816598769841
Chlamydia,2013,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,30548.0,558.8,5466923.0,37445.0,684.9373953135978
Chlamydia,2012,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,30417.0,564.7,5386751.0,36571.0,678.9064502888662
Chlamydia,2011,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,29217.0,550.9,5303804.0,34237.0,645.5178207942828
Chlamydia,2010,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,26786.0,512.2,5229307.0,30426.0,581.8361782928407
Chlamydia,2009,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,25951.0,488.1,5316383.0,29625.0,557.2397624475136
Chlamydia,2008,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,24698.0,471.8,5235120.0,28713.0,548.468803007381
"Early Non-Primary, Non-Secondary Syphilis",2020,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,1249.0,20.4,6109109.0,56298.0,921.5419138862967
"Early Non-Primary, Non-Secondary Syphilis",2019,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,1179.0,19.3,6109109.0,59386.0,972.0893832472133
"Early Non-Primary, Non-Secondary Syphilis",2018,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,898.0,15.0,5987068.0,55591.0,928.5179323167869
"Early Non-Primary, Non-Secondary Syphilis",2017,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,620.0,10.6,5871429.0,53637.0,913.5254807645636
"Early Non-Primary, Non-Secondary Syphilis",2016,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,488.0,8.5,5767101.0,46443.0,805.3092879767495
"Early Non-Primary, Non-Secondary Syphilis",2015,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,361.0,6.4,5660216.0,41572.0,734.4596036617684
"Early Non-Primary, Non-Secondary Syphilis",2014,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,311.0,5.6,5563834.0,41010.0,737.0816598769841
"Early Non-Primary, Non-Secondary Syphilis",2013,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,207.0,3.8,5466923.0,37445.0,684.9373953135978
"Early Non-Primary, Non-Secondary Syphilis",2012,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,147.0,2.7,5386751.0,36571.0,678.9064502888662
"Early Non-Primary, Non-Secondary Syphilis",2011,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,187.0,3.5,5303804.0,34237.0,645.5178207942828
"Early Non-Primary, Non-Secondary Syphilis",2010,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,166.0,3.2,5229307.0,30426.0,581.8361782928407
"Early Non-Primary, Non-Secondary Syphilis",2009,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,196.0,3.7,5316383.0,29625.0,557.2397624475136
"Early Non-Primary, Non-Secondary Syphilis",2008,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,258.0,4.9,5235120.0,28713.0,548.468803007381
Primary and Secondary Syphilis,2020,Arizona,Ages 13 years and older,All races/ethnicities,Both sexes,1454.0,23.8,6109109.0,56298.0,921.5419138862967
