"Date Printed: Friday, April 21, 2023 1:27:55 AM"
Title: "AIDS prevalence | Chlamydia | Early Non-Primary, Non-Secondary Syphilis | Gonorrhea | HIV prevalence | Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older"
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
Prevalence data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
^ Jurisdiction with incomplete reporting of deaths for most recent year.
NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Chlamydia","2019","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","31,164","755.7","4,123,974"
"Chlamydia","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","28,318","689.5","4,107,120"
"Chlamydia","2017","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","29,844","729.1","4,093,322"
"Chlamydia","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","23,345","572.0","4,081,636"
"Chlamydia","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","26,325","646.8","4,069,920"
"Chlamydia","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","28,956","713.5","4,058,522"
"Chlamydia","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","29,361","726.5","4,041,484"
"Chlamydia","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","30,549","760.0","4,019,352"
"Chlamydia","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","29,527","738.6","3,997,721"
"Chlamydia","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","26,937","676.7","3,980,618"
"Chlamydia","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","25,807","661.9","3,898,688"
"Chlamydia","2008","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","24,630","636.3","3,870,979"
"Early Non-Primary, Non-Secondary Syphilis","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","478","11.6","4,123,974"
"Early Non-Primary, Non-Secondary Syphilis","2019","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","540","13.1","4,123,974"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","447","10.9","4,107,120"
"Early Non-Primary, Non-Secondary Syphilis","2017","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","422","10.3","4,093,322"
"Early Non-Primary, Non-Secondary Syphilis","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","267","6.5","4,081,636"
"Early Non-Primary, Non-Secondary Syphilis","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","177","4.3","4,069,920"
"Early Non-Primary, Non-Secondary Syphilis","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","144","3.5","4,058,522"
"Early Non-Primary, Non-Secondary Syphilis","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","202","5.0","4,041,484"
"Early Non-Primary, Non-Secondary Syphilis","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","237","5.9","4,019,352"
"Early Non-Primary, Non-Secondary Syphilis","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","268","6.7","3,997,721"
"Early Non-Primary, Non-Secondary Syphilis","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","277","7.0","3,980,618"
"Early Non-Primary, Non-Secondary Syphilis","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","418","10.7","3,898,688"
"Early Non-Primary, Non-Secondary Syphilis","2008","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","439","11.3","3,870,979"
"Primary and Secondary Syphilis","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","529","12.8","4,123,974"
"Primary and Secondary Syphilis","2019","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","618","15.0","4,123,974"
"Primary and Secondary Syphilis","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","476","11.6","4,107,120"
"Primary and Secondary Syphilis","2017","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","420","10.3","4,093,322"
"Primary and Secondary Syphilis","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","343","8.4","4,081,636"
"Primary and Secondary Syphilis","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","280","6.9","4,069,920"
"Primary and Secondary Syphilis","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","161","4.0","4,058,522"
"Primary and Secondary Syphilis","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","183","4.5","4,041,484"
"Primary and Secondary Syphilis","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","216","5.4","4,019,352"
"Primary and Secondary Syphilis","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","228","5.7","3,997,721"
"Primary and Secondary Syphilis","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","260","6.5","3,980,618"
"Primary and Secondary Syphilis","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","416","10.7","3,898,688"
"Primary and Secondary Syphilis","2008","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","448","11.6","3,870,979"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","6,162","148.7","4,145,188"
"AIDS prevalence","2019","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","6,038","146.3","4,128,511"
"AIDS prevalence","2018","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","5,892","143.3","4,110,461"
"AIDS prevalence","2017","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","5,730","139.9","4,096,426"
"AIDS prevalence","2016","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","5,541","135.7","4,084,113"
"AIDS prevalence","2015","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","5,419","133.1","4,071,935"
"AIDS prevalence","2014","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","5,390","132.8","4,060,083"
"AIDS prevalence","2013","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","5,225","129.2","4,042,695"
"AIDS prevalence","2012","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","5,045","125.5","4,020,179"
"AIDS prevalence","2011","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","4,842","121.1","3,998,191"
"AIDS prevalence","2010","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","4,436","111.4","3,980,691"
"AIDS prevalence","2009","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","4,104","105.3","3,898,688"
"AIDS prevalence","2008","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","4,020","103.8","3,870,996"
"HIV prevalence","2020 (COVID-19 Pandemic)","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","14,158","341.6","4,145,188"
"HIV prevalence","2019","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","13,849","335.4","4,128,511"
"HIV prevalence","2018","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","13,448","327.2","4,110,461"
"HIV prevalence","2017","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","13,010","317.6","4,096,426"
"HIV prevalence","2016","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","12,478","305.5","4,084,113"
"HIV prevalence","2015","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","12,074","296.5","4,071,935"
"HIV prevalence","2014","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","12,114","298.4","4,060,083"
"HIV prevalence","2013","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","11,718","289.9","4,042,695"
"HIV prevalence","2012","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","11,347","282.3","4,020,179"
"HIV prevalence","2011","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","11,047","276.3","3,998,191"
"HIV prevalence","2010","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","10,547","265.0","3,980,691"
"HIV prevalence","2009","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","10,216","262.0","3,898,688"
"HIV prevalence","2008","Alabama^","01","Ages 13 years and older","All races/ethnicities","Both sexes","9,810","253.4","3,870,996"
"Gonorrhea","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","598,990"
"Gonorrhea","2019","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","598,990"
"Gonorrhea","2018","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","2,244","373.6","600,617"
"Gonorrhea","2017","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","2,184","362.1","603,165"
"Gonorrhea","2016","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","1,452","240.4","604,012"
"Gonorrhea","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","1,110","184.8","600,807"
"Gonorrhea","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","1,340","223.6","599,375"
"Gonorrhea","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","1,126","187.9","599,337"
"Gonorrhea","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","725","122.3","592,774"
"Gonorrhea","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","979","167.5","584,630"
"Gonorrhea","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","1,268","219.5","577,754"
"Gonorrhea","2009","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","987","177.1","557,167"
"Gonorrhea","2008","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","578","105.0","550,681"
"Chlamydia","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","5,088","849.4","598,990"
"Chlamydia","2019","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","6,250","1043.4","598,990"
"Chlamydia","2018","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","6,155","1024.8","600,617"
"Chlamydia","2017","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","5,933","983.6","603,165"
"Chlamydia","2016","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","5,691","942.2","604,012"
"Chlamydia","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","5,655","941.2","600,807"
"Chlamydia","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","5,787","965.5","599,375"
"Chlamydia","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","5,770","962.7","599,337"
"Chlamydia","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","5,460","921.1","592,774"
"Chlamydia","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","5,731","980.3","584,630"
"Chlamydia","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","6,014","1040.9","577,754"
"Chlamydia","2009","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","5,163","926.7","557,167"
"Chlamydia","2008","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","4,858","882.2","550,681"
"Early Non-Primary, Non-Secondary Syphilis","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","130","21.7","598,990"
"Early Non-Primary, Non-Secondary Syphilis","2019","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","78","13.0","598,990"
"Early Non-Primary, Non-Secondary Syphilis","2018","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","41","6.8","600,617"
"Early Non-Primary, Non-Secondary Syphilis","2017","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","9","1.5","603,165"
"Early Non-Primary, Non-Secondary Syphilis","2016","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","13","2.2","604,012"
"Early Non-Primary, Non-Secondary Syphilis","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","13","2.2","600,807"
"Early Non-Primary, Non-Secondary Syphilis","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","25","4.2","599,375"
"Early Non-Primary, Non-Secondary Syphilis","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","8","1.3","599,337"
"Early Non-Primary, Non-Secondary Syphilis","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","8","1.3","592,774"
"Early Non-Primary, Non-Secondary Syphilis","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","584,630"
"Early Non-Primary, Non-Secondary Syphilis","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","5","0.9","577,754"
"Early Non-Primary, Non-Secondary Syphilis","2009","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","0","0.0","557,167"
"Early Non-Primary, Non-Secondary Syphilis","2008","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","550,681"
"Primary and Secondary Syphilis","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","176","29.4","598,990"
"Primary and Secondary Syphilis","2019","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","129","21.5","598,990"
"Primary and Secondary Syphilis","2018","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","55","9.2","600,617"
"Primary and Secondary Syphilis","2017","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","13","2.2","603,165"
"Primary and Secondary Syphilis","2016","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","8","1.3","604,012"
"Primary and Secondary Syphilis","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","8","1.3","600,807"
"Primary and Secondary Syphilis","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","15","2.5","599,375"
"Primary and Secondary Syphilis","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","23","3.8","599,337"
"Primary and Secondary Syphilis","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","11","1.9","592,774"
"Primary and Secondary Syphilis","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","5","0.9","584,630"
"Primary and Secondary Syphilis","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","577,754"
"Primary and Secondary Syphilis","2009","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","0","0.0","557,167"
"Primary and Secondary Syphilis","2008","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","550,681"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","369","61.5","599,919"
"AIDS prevalence","2019","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","371","61.8","600,561"
"AIDS prevalence","2018","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","377","62.7","601,566"
"AIDS prevalence","2017","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","387","64.1","604,084"
"AIDS prevalence","2016","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","381","63.0","604,820"
"AIDS prevalence","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","364","60.5","601,517"
"AIDS prevalence","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","344","57.3","600,001"
"AIDS prevalence","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","363","60.5","599,774"
"AIDS prevalence","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","371","62.6","593,060"
"AIDS prevalence","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","377","64.5","584,807"
"AIDS prevalence","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","370","64.0","577,805"
"AIDS prevalence","2009","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","319","56.4","565,800"
"AIDS prevalence","2008","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","318","56.9","559,346"
"HIV prevalence","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","730","121.7","599,919"
"HIV prevalence","2019","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","722","120.2","600,561"
"HIV prevalence","2018","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","707","117.5","601,566"
"HIV prevalence","2017","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","713","118.0","604,084"
"HIV prevalence","2016","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","689","113.9","604,820"
"HIV prevalence","2015","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","652","108.4","601,517"
"HIV prevalence","2014","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","618","103.0","600,001"
"HIV prevalence","2013","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","640","106.7","599,774"
"HIV prevalence","2012","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","648","109.3","593,060"
"HIV prevalence","2011","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","657","112.3","584,807"
"HIV prevalence","2010","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","639","110.6","577,805"
"HIV prevalence","2009","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","549","97.0","565,800"
"HIV prevalence","2008","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","542","96.9","559,346"
"Gonorrhea","2020 (COVID-19 Pandemic)","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","16,326","267.2","6,109,109"
"Gonorrhea","2019","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","15,168","248.3","6,109,109"
"Gonorrhea","2018","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","12,861","214.8","5,987,068"
"Gonorrhea","2017","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","12,493","212.8","5,871,429"
"Gonorrhea","2016","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","10,324","179.0","5,767,101"
"Gonorrhea","2015","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","8,244","145.6","5,660,216"
"Gonorrhea","2014","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","7,745","139.2","5,563,834"
"Gonorrhea","2013","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","6,403","117.1","5,466,923"
"Gonorrhea","2012","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","5,805","107.8","5,386,751"
"Gonorrhea","2011","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","4,559","86.0","5,303,804"
"Gonorrhea","2010","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","3,244","62.0","5,229,307"
"Gonorrhea","2009","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","3,247","61.1","5,316,383"
"Gonorrhea","2008","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","3,440","65.7","5,235,120"
"Chlamydia","2020 (COVID-19 Pandemic)","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","37,269","610.1","6,109,109"
"Chlamydia","2019","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","43,039","704.5","6,109,109"
"Chlamydia","2018","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","40,785","681.2","5,987,068"
"Chlamydia","2017","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","39,582","674.1","5,871,429"
"Chlamydia","2016","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","34,910","605.3","5,767,101"
"Chlamydia","2015","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","32,378","572.0","5,660,216"
"Chlamydia","2014","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","32,377","581.9","5,563,834"
"Chlamydia","2013","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","30,548","558.8","5,466,923"
"Chlamydia","2012","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","30,417","564.7","5,386,751"
"Chlamydia","2011","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","29,217","550.9","5,303,804"
"Chlamydia","2010","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","26,786","512.2","5,229,307"
"Chlamydia","2009","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","25,951","488.1","5,316,383"
"Chlamydia","2008","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","24,698","471.8","5,235,120"
"Early Non-Primary, Non-Secondary Syphilis","2020 (COVID-19 Pandemic)","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","1,249","20.4","6,109,109"
"Early Non-Primary, Non-Secondary Syphilis","2019","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","1,179","19.3","6,109,109"
"Early Non-Primary, Non-Secondary Syphilis","2018","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","898","15.0","5,987,068"
"Early Non-Primary, Non-Secondary Syphilis","2017","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","620","10.6","5,871,429"
"Early Non-Primary, Non-Secondary Syphilis","2016","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","488","8.5","5,767,101"
"Early Non-Primary, Non-Secondary Syphilis","2015","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","361","6.4","5,660,216"
"Early Non-Primary, Non-Secondary Syphilis","2014","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","311","5.6","5,563,834"
"Early Non-Primary, Non-Secondary Syphilis","2013","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","207","3.8","5,466,923"
"Early Non-Primary, Non-Secondary Syphilis","2012","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","147","2.7","5,386,751"
"Early Non-Primary, Non-Secondary Syphilis","2011","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","187","3.5","5,303,804"
"Early Non-Primary, Non-Secondary Syphilis","2010","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","166","3.2","5,229,307"
"Early Non-Primary, Non-Secondary Syphilis","2009","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","196","3.7","5,316,383"
"Early Non-Primary, Non-Secondary Syphilis","2008","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","258","4.9","5,235,120"
"Primary and Secondary Syphilis","2020 (COVID-19 Pandemic)","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","1,454","23.8","6,109,109"
